date,day,tithi,time,nakshatra,additional_info,paksha,temple_festivals,temple_monthly_poojas,balavihar_events,festivals
8/8/2025,Friday,Purnima,26:54:47+,Shravana,27:53:23+,Shukla ,Vara Lakshmi Puja,,,Raksha Bhandan
8/9/2025,Saturday,Prathama,25:40:16+,Dhanishta,27:22:23+,Krishna ,,,,
8/10/2025,Sunday,Dvitiiya,24:03:58+,Shatabhisha,26:30:07+,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
8/11/2025,Monday,Tritiiya,22:11:04,P.Bhadrapada,25:21:49+,Krishna ,,,,
8/12/2025,Tuesday,Chaturthi,20:06:19,U.Bhadrapada,24:02:16+,Krishna ,,Sankatahara Ganapati Puja,,
8/13/2025,Wednesday,Panchami,17:53:53,Revati,22:35:42,Krishna ,,,,
8/14/2025,Thursday,Shashthi,15:37:23,Ashvini,21:05:45,Krishna ,,,,
8/15/2025,Friday,Saptami,13:20:02,Bharani,19:35:39,Krishna ,,,,
8/16/2025,Saturday,Ashtami,11:04:46,Krittika,18:08:28,Krishna ,Sri Krishna Janmashtami,,,
8/17/2025,Sunday,Navami,8:54:36,Rohini,16:47:20,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
8/18/2025,Monday,Dashami,6:52:45,Mrigashirsha,15:35:43,Krishna ,,,,
8/19/2025,Tuesday,Dvadashi,27:28:48+,Aardra,14:37:27,Krishna ,,,,
8/20/2025,Wednesday,Trayodashi,26:15:06+,Punarvasu,13:56:50,Krishna ,,Pradosha Shiva Puja,,
8/21/2025,Thursday,Chaturdashi,25:26:12+,Pushya,13:38:20,Krishna ,,,,
8/22/2025,Friday,Amavasya,25:06:16+,Aslesha,13:46:21,Krishna ,,,,
8/23/2025,Saturday,Prathama,25:18:37+,Magha,14:24:37,Shukla ,,,,
8/24/2025,Sunday,Dvitiiya,26:05:01+,P.Phalguni,15:35:33,Shukla ,,Sri SatyaNarayana Puja,10:00 a - BalaVihar & Vedanta Classes,
8/25/2025,Monday,Tritiiya,27:24:54+,U.Phalguni,17:19:31,Shukla ,,,,
8/26/2025,Tuesday,Chaturthi,29:14:38+,Hasta,19:34:03,Shukla ,Sri Ganesha Chaturthi,,,
8/27/2025,Wednesday,Panchami,full,Chitra,22:13:21,Shukla ,,,,
8/28/2025,Thursday,Panchami,7:27:09,Svaati,25:08:19+,Shukla ,,,,
8/29/2025,Friday,Shashthi,9:52:06,Vishaakha,28:07:10+,Shukla ,,,,
8/30/2025,Saturday,Saptami,12:16:51,Anuraadha,full night,Shukla ,,,,
8/31/2025,Sunday,Ashtami,14:27:57,Anuraadha,6:56:51,Shukla ,,,No  BalaVihar & Vedanta Classes,
9/1/2025,Monday,Navami,16:13:13,Jyeshtha,9:24:51,Shukla ,,,,
9/2/2025,Tuesday,Dashami,17:23:11,Mula,11:20:53,Shukla ,,,,
9/3/2025,Wednesday,Ekadashi,17:52:10,P.shadha,12:38:08,Shukla ,,Chinmaya Shripati Abhishekam,,
9/4/2025,Thursday,Dvadashi,17:38:21,U.shada,13:13:40,Shukla ,,,,
9/5/2025,Friday,Trayodashi,16:43:20,Shravana,13:08:13,Shukla ,,,,
9/6/2025,Saturday,Chaturdashi,15:11:24,Dhanishta,12:25:26,Shukla ,,,,
9/7/2025,Sunday,Purnima,13:08:37,Shatabhisha,11:11:07,Shukla ,,Sri SatyaNarayana Puja,10:00 a - BalaVihar & Vedanta Classes,Pitru paksha begins
9/8/2025,Monday,Prathama,10:42:05,P.Bhadrapada,9:32:25,Krishna ,,,,
9/9/2025,Tuesday,Dvitiiya,7:59:23,U.Bhadrapada,7:37:04,Krishna ,,,,
9/10/2025,Wednesday,Chaturthi,26:15:44+,Ashvini,27:27:47+,Krishna ,,Sankatahara Ganapati Puja,,
9/11/2025,Thursday,Panchami,23:28:50,Bharani,25:28:26+,Krishna ,,,,
9/12/2025,Friday,Shashthi,20:53:26,Krittika,23:41:04,Krishna ,,,,
9/13/2025,Saturday,Saptami,18:34:36,Rohini,22:10:46,Krishna ,,,,
9/14/2025,Sunday,Ashtami,16:36:18,Mrigashirsha,21:01:26,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
9/15/2025,Monday,Navami,15:01:33,Aardra,20:15:52,Krishna ,,,,
9/16/2025,Tuesday,Dashami,13:52:20,Punarvasu,19:55:49,Krishna ,,,,
9/17/2025,Wednesday,Ekadashi,13:09:52,Pushya,20:02:13,Krishna ,,,,
9/18/2025,Thursday,Dvadashi,12:54:45,Aslesha,20:35:27,Krishna ,,Pradosha Shiva Puja,,
9/19/2025,Friday,Trayodashi,13:07:12,Magha,21:35:29,Krishna ,,,,
